Well,Condition,species,replicate
I21,-Ni/-E,43,3
I22,-Ni/-E,44,3
I23,-Ni/-E,45,3
I24,-Ni/-E,46,3
J1,-Ni/+E,36,1
J2,-Ni/+E,37,1
J3,-Ni/+E,38,1
J4,-Ni/+E,39,1
J5,-Ni/+E,43,1
J6,-Ni/+E,44,1
J7,-Ni/+E,45,1
J8,-Ni/+E,46,1
J9,-Ni/+E,36,2
J10,-Ni/+E,37,2
J11,-Ni/+E,38,2
J12,-Ni/+E,39,2
J13,-Ni/+E,43,2
J14,-Ni/+E,44,2
J15,-Ni/+E,45,2
J16,-Ni/+E,46,2
J17,-Ni/+E,36,3
J18,-Ni/+E,37,3
J19,-Ni/+E,38,3
J20,-Ni/+E,39,3
J21,-Ni/+E,43,3
J22,-Ni/+E,44,3
J23,-Ni/+E,45,3
J24,-Ni/+E,46,3
K1,+Ni/-E,36,1
K2,+Ni/-E,37,1
K3,+Ni/-E,38,1
K4,+Ni/-E,39,1
K5,+Ni/-E,43,1
K6,+Ni/-E,44,1
K7,+Ni/-E,45,1
K8,+Ni/-E,46,1
K9,+Ni/-E,36,2
K10,+Ni/-E,37,2
K11,+Ni/-E,38,2
K12,+Ni/-E,39,2
K13,+Ni/-E,43,2
K14,+Ni/-E,44,2
K15,+Ni/-E,45,2
K16,+Ni/-E,46,2
K17,+Ni/-E,36,3
K18,+Ni/-E,37,3
K19,+Ni/-E,38,3
K20,+Ni/-E,39,3
K21,+Ni/-E,43,3
K22,+Ni/-E,44,3
K23,+Ni/-E,45,3
K24,+Ni/-E,46,3
L1,+Ni/+E,36,1
L2,+Ni/+E,37,1
L3,+Ni/+E,38,1
L4,+Ni/+E,39,1
L5,+Ni/+E,43,1
L6,+Ni/+E,44,1
L7,+Ni/+E,45,1
L8,+Ni/+E,46,1
L9,+Ni/+E,36,2
L10,+Ni/+E,37,2
L11,+Ni/+E,38,2
L12,+Ni/+E,39,2
L13,+Ni/+E,43,2
L14,+Ni/+E,44,2
L15,+Ni/+E,45,2
L16,+Ni/+E,46,2
L17,+Ni/+E,36,3
L18,+Ni/+E,37,3
L19,+Ni/+E,38,3
L20,+Ni/+E,39,3
L21,+Ni/+E,43,3
L22,+Ni/+E,44,3
L23,+Ni/+E,45,3
L24,+Ni/+E,46,3
M1,-Ni/-E,47,1
M2,-Ni/-E,48,1
M3,-Ni/-E,51,1
M4,-Ni/-E,WT,1
M5,-Ni/-E,GFP,1
M6,-Ni/-E,-,1
M7,-Ni/-E,47,2
M8,-Ni/-E,48,2
M9,-Ni/-E,51,2
M10,-Ni/-E,WT,2
M11,-Ni/-E,GFP,2
M12,-Ni/-E,-,2
M13,-Ni/-E,47,3
M14,-Ni/-E,48,3
M15,-Ni/-E,51,3
M16,-Ni/-E,WT,3
M17,-Ni/-E,GFP,3
M18,-Ni/-E,-,3
N1,-Ni/+E,47,1
N2,-Ni/+E,48,1
N3,-Ni/+E,51,1
N4,-Ni/+E,WT,1
N5,-Ni/+E,GFP,1
N6,-Ni/+E,-,1
N7,-Ni/+E,47,2
N8,-Ni/+E,48,2
N9,-Ni/+E,51,2
N10,-Ni/+E,WT,2
N11,-Ni/+E,GFP,2
N12,-Ni/+E,-,2
N13,-Ni/+E,47,3
N14,-Ni/+E,48,3
N15,-Ni/+E,51,3
N16,-Ni/+E,WT,3
N17,-Ni/+E,GFP,3
N18,-Ni/+E,-,3
O1,+Ni/-E,47,1
O2,+Ni/-E,48,1
O3,+Ni/-E,51,1
O4,+Ni/-E,WT,1
O5,+Ni/-E,GFP,1
O6,+Ni/-E,-,1
O7,+Ni/-E,47,2
O8,+Ni/-E,48,2
O9,+Ni/-E,51,2
O10,+Ni/-E,WT,2
O11,+Ni/-E,GFP,2
O12,+Ni/-E,-,2
O13,+Ni/-E,47,3
O14,+Ni/-E,48,3
O15,+Ni/-E,51,3
O16,+Ni/-E,WT,3
O17,+Ni/-E,GFP,3
O18,+Ni/-E,-,3
P1,+Ni/+E,47,1
P2,+Ni/+E,48,1
P3,+Ni/+E,51,1
P4,+Ni/+E,WT,1
P5,+Ni/+E,GFP,1
P6,+Ni/+E,-,1
P7,+Ni/+E,47,2
P8,+Ni/+E,48,2
P9,+Ni/+E,51,2
P10,+Ni/+E,WT,2
P11,+Ni/+E,GFP,2
P12,+Ni/+E,-,2
P13,+Ni/+E,47,3
P14,+Ni/+E,48,3
P15,+Ni/+E,51,3
P16,+Ni/+E,WT,3
P17,+Ni/+E,GFP,3
P18,+Ni/+E,-,3
