Luciferin (uM),wt_rfu,wt_stdev,156_rfu,156_stdev,186_rfu,186_stdev,blank_rfu,blank_stdev
0,14.66666667,2.309401077,13.66666667,1.154700538,14.66666667,2.081665999,12,1.732050808
0.342935528,6408.666667,214.2342954,443.6666667,21.07921567,3295,200.5766686,73,9.848857802
1.028806584,15556,513.1208435,1209.333333,96.71780257,7031.666667,414.8618244,164.6666667,17.95364401
3.086419753,29578.66667,628.1817677,3099.333333,83.69189527,10729.66667,791.3699093,224,40.1497198
9.259259259,34792,550.3162727,5966.333333,289.9350502,10101.33333,677.3553966,220.6666667,29.48445918
27.77777778,37950.33333,789.9065346,11768.66667,574.3172758,10338,659.10242,350.6666667,115.5220037
83.33333333,37592,937.2368964,15632.33333,548.8263235,9776.666667,299.6370026,253.6666667,19.50213664
250,35983.33333,1064.612762,17237.66667,1080.616645,9238,617.2382036,198.3333333,42.09908946
750,30523.66667,958.5433393,15272.33333,554.5830265,8222.666667,546.2731307,348.3333333,139.001199
