Well,Ni (uM),species,replicate
P9,100,51,2
P10,100,WT,2
P11,100,GFP,2
P12,100,-,2
P13,100,47,3
P14,100,48,3
P15,100,51,3
P16,100,WT,3
P17,100,GFP,3
P18,100,-,3
