Ni (μM),201/407,201/410,201/419,201/439,201/531,202/407,202/410,202/532,299/462,242/445,107/526,507/110,108/507,112/453,322/456,242/526,108/526,108/508,297/547,476/549,476/548,456/321,2TAG-sfGFP,Blank
0,0.099974925,0.011070712,0.003372618,0.002645436,0.001015547,0.017916249,0.029225176,0.297141424,0.010230692,0.099546412,0.028414061,0.006496031,0.019147902,0.015697392,0.046557589,0.036513851,0.019358497,0.260230034,0.150737081,0.140984934,0.077628382,0.013364653,0.00192775,0.002543334
1,0.026867467,0.009573606,0.003093011,0.002086555,0.000920539,0.02308712,0.030230503,0.331725458,0.004320397,0.023464709,0.026366961,0.004251799,0.016978175,0.013858254,0.045042953,0.030763873,0.020344788,0.236475505,0.135912468,0.114363246,0.063501277,0.007952171,0.00161075,0.002162178
10,0.009831509,0.00608346,0.002415156,0.001708837,0.000877203,0.01561877,0.017657982,0.267820321,0.0029392,0.008812583,0.023314843,0.00366478,0.010438205,0.007800134,0.031157757,0.028077631,0.042080796,0.133971224,0.110100247,0.10345516,0.060647112,0.006559528,0.001582843,0.001882299
100,0.005522921,0.002955247,0.001332284,0.001077939,0.000859929,0.010173802,0.032592503,0.037667292,0.002749349,0.006281272,0.01912093,0.004449234,0.008559772,0.002232315,0.014055885,0.012839658,0.081702717,0.043707182,0.134477715,0.122022939,0.058147949,0.006496805,0.001847433,0.001862828
